"runset","context","name","capex_mn_EUR_per_yr","opex_mn_EUR","net_import_costs_mn_EUR","interconnector_capex_mn_EUR","final_demand_TWh","system_costs_mn_EUR","nuclear_GW","totex_EUR_per_MWh","diff_of_increase","overrun","wacc","extra_capex_mn_EUR_per_yr","totex_increase_EUR_per_MWh"
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"6270 €/kW",0.04,0,6.87942954041431
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"7315 €/kW",0.04,0,4.26635946144241
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"8360 €/kW",0.04,0,1.55126868277314
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"9405 €/kW",0.04,0,0.274086307578699
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"10450 €/kW",0.04,0,0
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"11495 €/kW",0.04,0,0
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"12540 €/kW",0.04,0,0
"core-3yrs-midfine","Omezená spolupráce",0,5580.53637408701,3076.85350097366,1256.39420977904,23.7451771503905,101.423605612866,9937.5292619901,2.06,97.9804376105662,-1.56469326357293,"13585 €/kW",0.04,0,0
"core-3yrs-midfine","Omezená spolupráce",1,6083.62319750621,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,9623.26108252593,3.16,94.8810993581336,-0.778513586751714,"6270 €/kW",0.04,-173.757460871785,4.56627096480295
"core-3yrs-midfine","Omezená spolupráce",1,6149.88117279433,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,9689.51905781406,3.16,95.5343736985749,-0.778513586751714,"7315 €/kW",0.04,-107.49948558366,2.60647522627232
"core-3yrs-midfine","Omezená spolupráce",1,6218.78123805695,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,9758.41912307668,3.16,96.2136978779671,-0.778513586751714,"8360 €/kW",0.04,-38.5994203210437,0.570708626995298
"core-3yrs-midfine","Omezená spolupráce",1,6290.43493276394,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,9830.07281778366,3.16,96.9201716261663,-0.778513586751714,"9405 €/kW",0.04,33.0542743859436,0
"core-3yrs-midfine","Omezená spolupráce",1,6364.9415306209,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,9904.57941564062,3.16,97.6547737380158,-0.778513586751714,"10450 €/kW",0.04,107.560872242906,0.460515804270827
"core-3yrs-midfine","Omezená spolupráce",1,6442.42112308966,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,9982.05900810938,3.16,98.418688262231,-0.778513586751714,"11495 €/kW",0.04,185.040464711665,1.22443032848598
"core-3yrs-midfine","Omezená spolupráce",1,6522.99296612008,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,10062.6308511398,3.16,99.2130910097486,-0.778513586751714,"12540 €/kW",0.04,265.612307742091,2.01883307600359
"core-3yrs-midfine","Omezená spolupráce",1,6606.78109415526,3023.70766233511,492.185045534222,23.7451771503905,101.424426441376,10146.418979175,3.16,100.039204905336,-0.778513586751714,"13585 €/kW",0.04,349.400435777269,2.84494697159073
"core-3yrs-midfine","Omezená spolupráce",2,6490.11626036345,3015.87548796173,-161.990383401212,23.7451771503905,101.42542597536,9367.74654207437,4.26,92.3609287512394,0,"6270 €/kW",0.04,-347.514921743569,2.82461394466047
"core-3yrs-midfine","Omezená spolupráce",2,6622.6322109397,3015.87548796173,-161.990383401212,23.7451771503905,101.42542597536,9500.26249265062,4.26,93.6674645562597,0,"7315 €/kW",0.04,-214.99897116732,1.5180796707089
"core-3yrs-midfine","Omezená spolupráce",2,6760.43234146494,3015.87548796173,-161.990383401212,23.7451771503905,101.42542597536,9638.06262317585,4.26,95.0260995257467,0,"8360 €/kW",0.04,-77.1988406420875,0.161623861526564
"core-3yrs-midfine","Omezená spolupráce",2,6903.73973087891,3015.87548796173,-161.990383401212,23.7451771503905,101.42542597536,9781.37001258982,4.26,96.4390330977367,0,"9405 €/kW",0.04,66.1085487718873,0.297375058322132
"core-3yrs-midfine","Omezená spolupráce",2,7052.75292659284,3015.87548796173,-161.990383401212,23.7451771503905,101.42542597536,9930.38320830375,4.26,97.908222842625,0,"10450 €/kW",0.04,215.121744485812,1.49247849563172
"core-3yrs-midfine","Omezená spolupráce",2,7207.71211153035,3015.87548796173,-161.990383401212,23.7451771503905,101.42542597536,10085.3423932413,4.26,99.4360368345047,0,"11495 €/kW",0.04,370.08092942333,3.02029248751145
"core-3yrs-midfine","Omezená spolupráce",2,7368.85579759121,3015.87548796173,-161.990383401212,23.7451771503905,101.42542597536,10246.4860793021,4.26,101.024826672075,0,"12540 €/kW",0.04,531.224615484183,4.60908232508137
