name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,CZ,S,avg_consumer_price_EUR_per_MWh,,78.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,avg_producer_price_EUR_per_MWh,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,capacity_factor,,1.445,0.678,,0.779,,,,,,,0,0,,0.378,0,0.123,,0.246,0.009,0.074,0.779,0.732,0.703,,0.777,0.776,,0.185,0.04,0.043,0.17
2025-cheap-ets,CZ,S,capex_mn_EUR_per_yr,,,57.238,0,49.707,0,0,0,,0,,87.828,87.293,,19.959,8.282,141.738,,87.683,,2.891,103.52,65.361,199.334,0,46.48,3000.042,,51.961,139.774,95.559,255.14
2025-cheap-ets,CZ,S,charged_TWh,,2.296,,,,,,,,,,,,,,,0,,0,0.222,0.015,,,,,,,,,0.167,0.104,
2025-cheap-ets,CZ,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,discharged_TWh,,5.493,,,,,,,,,,,,,,,0.374,,0.464,0.194,0.014,,,,,,,,,0.119,0.088,
2025-cheap-ets,CZ,S,emissions_MtCO2,,75.261,0,0,0,0,0,0,,0,0,0,0,,0.333,0,0,,0,0,0,4.402,3.859,5.646,0,1.834,0,,0,0,0,0
2025-cheap-ets,CZ,S,export_TWh,,4.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,heat_production_PJ,,,0,,,,0,0,,,0,,0,,2.182,,,,,,,,20.837,8.571,,,,,,,,
2025-cheap-ets,CZ,S,import_TWh,,1.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,inflow_TWh,,,,,,,,,,,,,,,,,0.374,,0.464,,,,,,,,,,,,0.013,
2025-cheap-ets,CZ,S,load_TWh,,29.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,net_import_TWh,,-3.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,opex_mn_EUR,,,40.99,0,89.776,0,0,0,,0,,0,-0,,76.307,0,1.123,,,,0.028,343.466,292.757,372.712,0,143.79,301.727,,0,0.476,0.35,0
2025-cheap-ets,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
2025-cheap-ets,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,S,production_TWh,,139.889,0.523,0,1.266,0,0,0,,0,0,0,-0,,0.606,0,0.374,,0.464,0.194,0.014,4.402,1.929,4.796,0,1.971,13.715,,0.274,0.119,0.088,2.604
2025-cheap-ets,CZ,S,production_el_eq_TWh,,,0.523,,,,0,0,,,0,,0,,0.606,,,,,,,,1.929,5.646,,,,,,,,
