name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,AT,S,avg_consumer_price_EUR_per_MWh,,78.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,avg_producer_price_EUR_per_MWh,,77.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,capacity_factor,,1.258,,,0.756,,,,,0,,0.063,,0,,,0.11,0.783,0.772,,0.102,,,,,,,,0.199,,0.188,0.181
2025-cheap-ets,AT,S,capex_mn_EUR_per_yr,,,,,82.08,,,,,0,,442.353,,6.52,,,566.191,233.476,980.119,,2.24,,,0,,,,,840.553,,824.261,364.504
2025-cheap-ets,AT,S,charged_TWh,,1.346,,,,,,,,,,,,,,,0,0,0,,0.016,,,,,,,,,,0.575,
2025-cheap-ets,AT,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,discharged_TWh,,83.863,,,,,,,,,,,,,,,1.337,3.932,16.272,,0.015,,,,,,,,,,3.334,
2025-cheap-ets,AT,S,emissions_MtCO2,,10.606,,,0,,,,,0,0,0.448,,0,,,0,0,0,,0,,,0,,,,,0,,0,0
2025-cheap-ets,AT,S,export_TWh,,5.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
2025-cheap-ets,AT,S,import_TWh,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,inflow_TWh,,,,,,,,,,,,,,,,,2,3.979,16.456,,,,,,,,,,,,4.563,
2025-cheap-ets,AT,S,load_TWh,,35.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,net_import_TWh,,-1.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,opex_mn_EUR,,,,,143.956,,,,,0,,104.245,,0,,,4.012,7.865,,,0.03,,,0,,,,,0,,13.337,0
2025-cheap-ets,AT,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,0.998
2025-cheap-ets,AT,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,0.002
