"country","technology","variable","value"
"IE","pumped_closed","gen_cap_MW",292
"IE","pumped_closed","pumping_cap_MW",-292
"IE","pumped_closed","sto_GWh",1.72
"IE","pumped_open","gen_cap_MW",0
"IE","pumped_open","pumping_cap_MW",0
"IE","pumped_open","sto_GWh",0
"IE","reservoir","gen_cap_MW",0
"IE","reservoir","pumping_cap_MW",0
"IE","reservoir","sto_GWh",0
"IT","pumped_closed","gen_cap_MW",7300
"IT","pumped_closed","pumping_cap_MW",-7366
"IT","pumped_closed","sto_GWh",70.4
"IT","pumped_open","gen_cap_MW",3334
"IT","pumped_open","pumping_cap_MW",-2097
"IT","pumped_open","sto_GWh",309.38
"IT","reservoir","gen_cap_MW",9648.848976470588
"IT","reservoir","pumping_cap_MW",0
"IT","reservoir","sto_GWh",5649.1
"LT","pumped_closed","gen_cap_MW",930
"LT","pumped_closed","pumping_cap_MW",-900
"LT","pumped_closed","sto_GWh",10.6
"LT","pumped_open","gen_cap_MW",0
"LT","pumped_open","pumping_cap_MW",0
"LT","pumped_open","sto_GWh",0
"LT","reservoir","gen_cap_MW",0
"LT","reservoir","pumping_cap_MW",0
"LT","reservoir","sto_GWh",0
"LU","pumped_closed","gen_cap_MW",1310
"LU","pumped_closed","pumping_cap_MW",-1026
"LU","pumped_closed","sto_GWh",5
"LU","pumped_open","gen_cap_MW",0
"LU","pumped_open","pumping_cap_MW",0
"LU","pumped_open","sto_GWh",0
"LU","reservoir","gen_cap_MW",0
"LU","reservoir","pumping_cap_MW",0
"LU","reservoir","sto_GWh",0
"LV","pumped_closed","gen_cap_MW",0
"LV","pumped_closed","pumping_cap_MW",0
"LV","pumped_closed","sto_GWh",0
"LV","pumped_open","gen_cap_MW",0
"LV","pumped_open","pumping_cap_MW",0
"LV","pumped_open","sto_GWh",0
"LV","reservoir","gen_cap_MW",0
"LV","reservoir","pumping_cap_MW",0
"LV","reservoir","sto_GWh",0
"ME","pumped_closed","gen_cap_MW",0
"ME","pumped_closed","pumping_cap_MW",0
"ME","pumped_closed","sto_GWh",0
"ME","pumped_open","gen_cap_MW",0
"ME","pumped_open","pumping_cap_MW",0
"ME","pumped_open","sto_GWh",0
"ME","reservoir","gen_cap_MW",1058.4
"ME","reservoir","pumping_cap_MW",0
"ME","reservoir","sto_GWh",582.4000000000001
"MK","pumped_closed","gen_cap_MW",0
"MK","pumped_closed","pumping_cap_MW",0
"MK","pumped_closed","sto_GWh",0
"MK","pumped_open","gen_cap_MW",0
"MK","pumped_open","pumping_cap_MW",0
"MK","pumped_open","sto_GWh",0
"MK","reservoir","gen_cap_MW",670.6
"MK","reservoir","pumping_cap_MW",0
"MK","reservoir","sto_GWh",628.2
"NL","pumped_closed","gen_cap_MW",0
"NL","pumped_closed","pumping_cap_MW",0
"NL","pumped_closed","sto_GWh",0
"NL","pumped_open","gen_cap_MW",0
"NL","pumped_open","pumping_cap_MW",0
"NL","pumped_open","sto_GWh",0
"NL","reservoir","gen_cap_MW",0
"NL","reservoir","pumping_cap_MW",0
"NL","reservoir","sto_GWh",0
"NO","pumped_closed","gen_cap_MW",0
"NO","pumped_closed","pumping_cap_MW",0
"NO","pumped_closed","sto_GWh",0
"NO","pumped_open","gen_cap_MW",38048
"NO","pumped_open","pumping_cap_MW",-1093.4
"NO","pumped_open","sto_GWh",89577.40000000001
"NO","reservoir","gen_cap_MW",0
"NO","reservoir","pumping_cap_MW",0
"NO","reservoir","sto_GWh",0
"PL","pumped_closed","gen_cap_MW",1323.1
"PL","pumped_closed","pumping_cap_MW",-1486
"PL","pumped_closed","sto_GWh",6.34
"PL","pumped_open","gen_cap_MW",216.26
"PL","pumped_open","pumping_cap_MW",-172
"PL","pumped_open","sto_GWh",1.5
"PL","reservoir","gen_cap_MW",271.48
"PL","reservoir","pumping_cap_MW",0
"PL","reservoir","sto_GWh",0.82
"PT","pumped_closed","gen_cap_MW",0
"PT","pumped_closed","pumping_cap_MW",0
"PT","pumped_closed","sto_GWh",0
"PT","pumped_open","gen_cap_MW",3832
"PT","pumped_open","pumping_cap_MW",-3579
"PT","pumped_open","sto_GWh",2017.9
"PT","reservoir","gen_cap_MW",3765.5
"PT","reservoir","pumping_cap_MW",0
"PT","reservoir","sto_GWh",1289.5999999999997
"RO","pumped_closed","gen_cap_MW",0
"RO","pumped_closed","pumping_cap_MW",0
"RO","pumped_closed","sto_GWh",0
"RO","pumped_open","gen_cap_MW",838.7439999999999
"RO","pumped_open","pumping_cap_MW",-102.7
"RO","pumped_open","sto_GWh",1506.4
"RO","reservoir","gen_cap_MW",2579.2380000000003
"RO","reservoir","pumping_cap_MW",0
"RO","reservoir","sto_GWh",2425.31
"RS","pumped_closed","gen_cap_MW",814
"RS","pumped_closed","pumping_cap_MW",-760
"RS","pumped_closed","sto_GWh",254
"RS","pumped_open","gen_cap_MW",0
"RS","pumped_open","pumping_cap_MW",0
"RS","pumped_open","sto_GWh",0
"RS","reservoir","gen_cap_MW",434.27
"RS","reservoir","pumping_cap_MW",0
"RS","reservoir","sto_GWh",646
"SE","pumped_closed","gen_cap_MW",0
"SE","pumped_closed","pumping_cap_MW",0
"SE","pumped_closed","sto_GWh",0
"SE","pumped_open","gen_cap_MW",0
"SE","pumped_open","pumping_cap_MW",0
"SE","pumped_open","sto_GWh",0
"SE","reservoir","gen_cap_MW",16447.1
"SE","reservoir","pumping_cap_MW",0
"SE","reservoir","sto_GWh",31931.3329
"SI","pumped_closed","gen_cap_MW",180
"SI","pumped_closed","pumping_cap_MW",-185
"SI","pumped_closed","sto_GWh",2.596
"SI","pumped_open","gen_cap_MW",0
"SI","pumped_open","pumping_cap_MW",0
"SI","pumped_open","sto_GWh",0
"SI","reservoir","gen_cap_MW",0
"SI","reservoir","pumping_cap_MW",0
"SI","reservoir","sto_GWh",0
"SK","pumped_closed","gen_cap_MW",649.86
"SK","pumped_closed","pumping_cap_MW",-649.86
"SK","pumped_closed","sto_GWh",4.1
"SK","pumped_open","gen_cap_MW",276.2
"SK","pumped_open","pumping_cap_MW",-178.28
"SK","pumped_open","sto_GWh",45.55
"SK","reservoir","gen_cap_MW",21.28
"SK","reservoir","pumping_cap_MW",0
"SK","reservoir","sto_GWh",17.2415450625
"TR","pumped_closed","gen_cap_MW",0
"TR","pumped_closed","pumping_cap_MW",0
"TR","pumped_closed","sto_GWh",0
"TR","pumped_open","gen_cap_MW",0
"TR","pumped_open","pumping_cap_MW",0
"TR","pumped_open","sto_GWh",0
"TR","reservoir","gen_cap_MW",29239.66
"TR","reservoir","pumping_cap_MW",0
"TR","reservoir","sto_GWh",102338.8085720385
"UA","pumped_closed","gen_cap_MW",0
"UA","pumped_closed","pumping_cap_MW",0
"UA","pumped_closed","sto_GWh",0
"UA","pumped_open","gen_cap_MW",0
"UA","pumped_open","pumping_cap_MW",0
"UA","pumped_open","sto_GWh",0
"UA","reservoir","gen_cap_MW",55
"UA","reservoir","pumping_cap_MW",0
"UA","reservoir","sto_GWh",0.051
"UK","pumped_closed","gen_cap_MW",2954
"UK","pumped_closed","pumping_cap_MW",-2684
"UK","pumped_closed","sto_GWh",26.38
"UK","pumped_open","gen_cap_MW",0
"UK","pumped_open","pumping_cap_MW",0
"UK","pumped_open","sto_GWh",0
"UK","reservoir","gen_cap_MW",0
"UK","reservoir","pumping_cap_MW",0
"UK","reservoir","sto_GWh",0
