name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,CZ,S,avg_consumer_price_EUR_per_MWh,,77.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,avg_producer_price_EUR_per_MWh,,77.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,capacity_factor,,1.445,0.679,,0.787,,,,,,,0,0,,0.364,0,0.109,,0.302,0.008,0.073,0.752,0.735,0.711,,0.751,0.776,,0.185,0.03,0.032,0.171
2025-cheap-ets,CZ,S,capex_mn_EUR_per_yr,,,57.238,0,49.707,0,0,0,,0,,87.828,87.293,,19.959,8.282,141.738,,87.683,,2.891,103.52,65.361,199.334,0,46.48,3000.042,,51.961,139.774,95.559,255.14
2025-cheap-ets,CZ,S,charged_TWh,,2.009,,,,,,,,,,,,,,,0,,0,0.211,0.015,,,,,,,,,0.123,0.079,
2025-cheap-ets,CZ,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,discharged_TWh,,5.365,,,,,,,,,,,,,,,0.332,,0.569,0.184,0.014,,,,,,,,,0.089,0.066,
2025-cheap-ets,CZ,S,emissions_MtCO2,,75.409,0,0,0,0,0,0,,0,0,0,0,,0.321,0,0,,0,0,0,4.251,3.874,5.708,0,1.774,0,,0,0,0,0
2025-cheap-ets,CZ,S,export_TWh,,4.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,heat_production_PJ,,,0,,,,0,0,,,0,,-0,,2.103,,,,,,,,20.918,8.564,,,,,,,,
2025-cheap-ets,CZ,S,import_TWh,,1.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,inflow_TWh,,,,,,,,,,,,,,,,,0.332,,0.569,,,,,,,,,,,,0.009,
2025-cheap-ets,CZ,S,load_TWh,,29.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,net_import_TWh,,-3.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,opex_mn_EUR,,,40.921,0,90.652,0,0,0,,0,,0,0,,73.556,0,0.995,,,,0.028,331.215,293.642,377.782,0,138.951,301.727,,0,0.355,0.264,0
2025-cheap-ets,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
2025-cheap-ets,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,S,production_TWh,,139.922,0.524,0,1.279,0,0,0,,0,0,0,0,,0.584,0,0.332,,0.569,0.184,0.014,4.251,1.937,4.858,0,1.907,13.715,,0.275,0.089,0.066,2.609
2025-cheap-ets,CZ,S,production_el_eq_TWh,,,0.524,,,,0,0,,,0,,0,,0.584,,,,,,,,1.937,5.708,,,,,,,,
2025-cheap-ets,CZ,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,CZ,S,production_hours,,,4024,0,3680,0,0,0,,0,0,0,0,,1626,0,4368,,4368,432,328,4163,4277,4368,0,4140,,,,193,219,
2025-cheap-ets,CZ,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,,,2.609
2025-cheap-ets,CZ,S,wholesale_expenses_mn_EUR,21.456,,,,,,,,,,,,,,,,0,,0,,1.191,,,,,,,,,9.413,6.045,
2025-cheap-ets,CZ,S,wholesale_revenues_mn_EUR,325.83,,40.859,0,99.667,0,0,0,,0,,0,0,,45.421,0,25.763,,44.235,,1.072,331.206,150.876,443.379,0,148.602,1064.569,,21.209,6.897,5.115,201.717
2025-cheap-ets,CZ,W,avg_consumer_price_EUR_per_MWh,,84.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,avg_producer_price_EUR_per_MWh,,83.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,capacity_factor,,1.438,0.92,,0.813,,,,,,,0.187,0.315,,0.419,0,0.113,,0.313,0.016,0.071,0.947,0.964,0.989,,0.948,0.817,,0.276,0.021,0.026,0.081
2025-cheap-ets,CZ,W,capex_mn_EUR_per_yr,,,57.238,0,49.707,0,0,0,,0,,87.828,87.293,,19.959,8.282,141.738,,87.683,,2.891,103.52,65.361,199.334,0,46.48,3000.042,,51.961,139.774,95.559,255.14
2025-cheap-ets,CZ,W,charged_TWh,,2.009,,,,,,,,,,,,,,,0,,0,0.422,0.015,,,,,,,,,0.089,0.051,
2025-cheap-ets,CZ,W,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,discharged_TWh,,5.365,,,,,,,,,,,,,,,0.345,,0.594,0.359,0.013,,,,,,,,,0.064,0.054,
2025-cheap-ets,CZ,W,emissions_MtCO2,,75.409,0,0,0,0,0,0,,0,0,0.266,0.412,,0.372,0,0,,0,0,0,5.384,5.106,7.985,0,2.25,0,,0,0,0,0
2025-cheap-ets,CZ,W,export_TWh,,3.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,heat_production_PJ,,,0.125,,,,0,0,,,0,,0.72,,2.435,,,,,,,,27.573,35.592,,,,,,,,
2025-cheap-ets,CZ,W,import_TWh,,1.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,inflow_TWh,,,,,,,,,,,,,,,,,0.345,,0.594,,,,,,,,,,,,0.018,
2025-cheap-ets,CZ,W,load_TWh,,33.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,net_import_TWh,,-2.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,opex_mn_EUR,,,54.159,0,94.022,0,0,0,,0,,62.518,88.459,,85.163,0,1.035,,1.188,,0.027,418.385,384.184,345.777,0,175.708,319.48,,0,0.256,0.215,0
2025-cheap-ets,CZ,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
2025-cheap-ets,CZ,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,W,production_TWh,,139.922,0.697,0,1.328,0,0,0,,0,0,0.678,0.966,,0.676,0,0.345,,0.594,0.359,0.013,5.384,2.553,4.454,0,2.419,14.522,,0.412,0.064,0.054,1.249
2025-cheap-ets,CZ,W,production_el_eq_TWh,,,0.714,,,,0,0,,,0,,1.049,,0.676,,,,,,,,2.553,7.985,,,,,,,,
