name,year,week,neighbour,ImportTWh,ExportTWh
Levnější povolenka,2009,28,DE,0.017,0.085
Levnější povolenka,2009,29,AT,0.005,0.015
Levnější povolenka,2009,29,SK,0.001,0.048
Levnější povolenka,2009,29,PL,0.009,0.032
Levnější povolenka,2009,29,DE,0.035,0.082
Levnější povolenka,2009,30,AT,0.002,0.014
Levnější povolenka,2009,30,SK,0.001,0.036
Levnější povolenka,2009,30,PL,0.011,0.032
Levnější povolenka,2009,30,DE,0.029,0.052
Levnější povolenka,2009,31,AT,0.001,0.028
Levnější povolenka,2009,31,SK,0,0.047
Levnější povolenka,2009,31,PL,0.007,0.024
Levnější povolenka,2009,31,DE,0.035,0.116
Levnější povolenka,2009,32,AT,0,0.046
Levnější povolenka,2009,32,SK,0.001,0.048
Levnější povolenka,2009,32,PL,0.003,0.025
Levnější povolenka,2009,32,DE,0.001,0.084
Levnější povolenka,2009,33,AT,0,0.067
Levnější povolenka,2009,33,SK,0,0.046
Levnější povolenka,2009,33,PL,0.017,0.03
Levnější povolenka,2009,33,DE,0.014,0.07
Levnější povolenka,2009,34,AT,0.001,0.041
Levnější povolenka,2009,34,SK,0.001,0.046
Levnější povolenka,2009,34,PL,0.011,0.025
Levnější povolenka,2009,34,DE,0.002,0.122
Levnější povolenka,2009,35,AT,0.003,0.056
Levnější povolenka,2009,35,SK,0.001,0.055
Levnější povolenka,2009,35,PL,0.013,0.028
Levnější povolenka,2009,35,DE,0.019,0.064
Levnější povolenka,2009,36,AT,0.003,0.045
Levnější povolenka,2009,36,SK,0,0.069
Levnější povolenka,2009,36,PL,0.011,0.02
Levnější povolenka,2009,36,DE,0.077,0.042
Levnější povolenka,2009,37,AT,0,0.062
Levnější povolenka,2009,37,SK,0,0.074
Levnější povolenka,2009,37,PL,0.004,0.033
Levnější povolenka,2009,37,DE,0.001,0.067
Levnější povolenka,2009,38,AT,0,0.074
Levnější povolenka,2009,38,SK,0,0.067
Levnější povolenka,2009,38,PL,0.01,0.033
